ph, Lockup=NO
│ 2026-03-28 12:14:13.00  │ 51.553427 │ -0.155701 │ 39.8 │   0.24 │   0.38 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │       6 │      80 │     780 │       0 │     780 │   13441 │      11 │       0 │       6 │      11 │
│ 2026-03-28 12:14:13.20  │ 51.553426 │ -0.155701 │ 39.8 │   0.30 │   0.48 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     180 │      49 │     954 │       0 │     954 │   13615 │     185 │       0 │      49 │     185 │
│ 2026-03-28 12:14:13.40  │ 51.553426 │ -0.155701 │ 39.7 │   0.36 │   0.58 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │       5 │      72 │     174 │       0 │     174 │   13841 │     205 │       0 │       5 │     205 │
│ 2026-03-28 12:14:13.80  │ 51.553424 │ -0.155701 │ 39.7 │   0.37 │   0.59 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      21 │      90 │     389 │       0 │     389 │   14056 │      10 │       0 │      21 │      10 │
│ 2026-03-28 12:14:13.80  │ 51.553424 │ -0.155701 │ 39.7 │   0.34 │   0.54 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     195 │      63 │     563 │       0 │     563 │   14230 │     184 │       0 │      63 │     184 │
│ 2026-03-28 12:14:14.00  │ 51.553424 │ -0.155701 │ 39.7 │   0.31 │   0.50 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     179 │      47 │     747 │       0 │     747 │   14414 │     164 │       0 │      47 │     164 │
GPS Send Check: Location=YES, Speed=YES, Speed value=0.57
│ 2026-03-28 12:14:14.20  │ 51.553424 │ -0.155701 │ 39.7 │   0.32 │   0.52 │ 685.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     193 │      62 │     961 │       0 │     961 │   14628 │     174 │       0 │      62 │     174 │
│ 2026-03-28 12:14:14.50  │ 51.553424 │ -0.155702 │ 39.7 │   0.36 │   0.59 │ 685.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      38 │       7 │     206 │       0 │     206 │   14873 │      10 │       0 │       7 │      10 │
